,Age,Gender,Emotion,Ethnicity,Skin Colour,Eye Colour,Hair Colour,Nose Width,Nose Height,Eye Ave Width,Eye Area,Eye Spacing,Mouth Width,Lip Thickness,Face Area
27,38,Woman,neutral,asian,,black,black,1.9565217391304348,4.642857142857143,1.7391304347826086,9.45179584120983,6.0144927536231885,3.4782608695652173,1.4285714285714284,15456
28,32,Man,neutral,white,,black,black,2.0,4.23728813559322,1.75,9.375,6.071428571428571,3.8571428571428568,1.6101694915254237,16520
29,32,Woman,happy,white,,grey,black,1.7857142857142858,4.137931034482759,1.75,9.375,6.071428571428571,4.357142857142858,2.327586206896552,16240
30,28,Man,neutral,middle eastern,,black,black,1.843971631205673,4.56896551724138,1.8085106382978724,11.54368492530557,6.0992907801418434,3.333333333333333,1.206896551724138,16356
31,27,Woman,neutral,asian,,black,black,1.7647058823529411,4.62962962962963,1.8014705882352944,10.59688581314879,6.25,3.602941176470588,1.4814814814814814,14688
32,15,Woman,neutral,latino hispanic,,black,black,1.805555555555556,4.107142857142857,1.805555555555556,8.777006172839506,6.041666666666666,3.888888888888889,1.5178571428571428,16128
33,36,Woman,happy,latino hispanic,,black,black,2.1323529411764706,4.070796460176991,1.8382352941176472,9.46150519031142,6.25,4.338235294117647,2.4778761061946897,15368
34,33,Woman,sad,latino hispanic,,black,black,1.7518248175182485,4.2342342342342345,1.8978102189781016,13.852629335606586,6.2773722627737225,3.7226277372262775,1.6216216216216215,15207
35,16,Woman,neutral,white,,grey,blonde,1.5714285714285714,4.339622641509433,1.8571428571428568,12.602040816326529,6.2142857142857135,3.571428571428572,1.5094339622641508,14840
36,40,Woman,neutral,indian,,brown,black,1.9696969696969693,4.553571428571429,1.9318181818181817,13.903236914600551,6.4393939393939394,4.015151515151515,1.6964285714285716,14784
37,57,Woman,neutral,white,,grey,blonde,1.9285714285714288,4.23728813559322,1.6785714285714284,7.7933673469387745,6.0,3.8571428571428568,1.1864406779661016,16520
38,21,Man,neutral,asian,,black,black,1.9014084507042253,4.513274336283184,1.6901408450704225,9.521920253917871,5.985915492957746,3.52112676056338,1.4159292035398232,16046
39,18,Man,neutral,white,,black,black,1.862068965517241,4.3478260869565215,1.7586206896551724,10.309155766944112,5.93103448275862,3.931034482758621,1.565217391304348,16675
40,26,Woman,happy,black,,black,black,2.0437956204379564,4.070796460176991,1.8613138686131387,10.86898609409132,6.2773722627737225,4.37956204379562,2.6548672566371683,15481
41,30,Woman,neutral,white,,brown,black,1.7857142857142858,4.336283185840708,1.8571428571428568,10.612244897959185,6.2142857142857135,3.928571428571429,1.7699115044247788,15820
42,12,Man,neutral,asian,,black,black,1.76056338028169,3.9814814814814814,1.6549295774647887,8.740825233088673,5.845070422535211,3.2394366197183104,1.851851851851852,15336
43,27,Woman,neutral,asian,,black,brown,1.8571428571428568,4.587155963302751,1.7142857142857144,7.959183673469388,6.0,3.428571428571429,1.6513761467889911,15260
44,35,Woman,fear,white,,black,black,1.748251748251748,4.188034188034188,1.7132867132867131,10.18387207198396,5.944055944055942,3.776223776223776,1.4529914529914532,16731
45,21,Man,neutral,latino hispanic,,black,black,1.8796992481203008,4.495412844036697,1.8796992481203008,11.306461642828875,6.390977443609022,3.9849624060150375,1.376146788990826,14497
46,31,Man,neutral,latino hispanic,,black,black,2.1052631578947367,4.587155963302751,1.8421052631578947,9.69529085872576,6.390977443609022,3.909774436090225,1.376146788990826,14497
47,12,Woman,angry,white,,black,black,1.836734693877551,4.090909090909091,1.7006802721088434,9.255402841408673,5.850340136054423,3.945578231292517,1.9090909090909087,16170
48,27,Woman,happy,latino hispanic,,black,black,2.0,4.3243243243243255,1.777777777777778,11.193415637860085,6.296296296296298,4.37037037037037,2.1621621621621623,14985
49,19,Woman,neutral,latino hispanic,,black,black,1.8705035971223016,4.181818181818182,1.762589928057554,10.144402463640596,6.115107913669064,3.741007194244604,2.0,15290
50,33,Woman,fear,asian,,grey,black,1.7518248175182485,4.414414414414415,1.7883211678832116,11.095423304384887,6.204379562043796,3.7226277372262775,1.5315315315315314,15207
51,31,Man,neutral,latino hispanic,,black,black,1.777777777777778,4.107142857142857,1.7407407407407407,11.604938271604938,5.851851851851852,3.4814814814814814,1.7857142857142858,15120
52,42,Man,neutral,white,,black,black,1.9852941176470589,4.2735042735042725,1.5808823529411764,6.97448096885813,5.955882352941178,3.8235294117647056,1.1111111111111112,15912
53,27,Woman,neutral,asian,,black,black,1.564625850340136,4.35897435897436,1.6666666666666663,10.20408163265306,5.442176870748299,3.0612244897959187,1.794871794871795,17199
54,26,Woman,neutral,asian,,black,black,1.9148936170212765,4.4444444444444455,1.773049645390071,11.317338162064283,6.170212765957447,3.617021276595745,1.6666666666666663,15228
55,19,Man,neutral,asian,,black,black,1.8978102189781016,4.336283185840708,1.7518248175182485,9.590281847727637,5.985401459854015,3.43065693430657,1.68141592920354,15481
56,23,Man,neutral,latino hispanic,,black,black,1.8604651162790693,4.666666666666667,1.8992248062015504,12.514271978847423,6.511627906976745,3.6434108527131785,1.619047619047619,13545
57,27,Man,neutral,white,,grey,black,1.8978102189781016,4.049586776859504,1.6423357664233575,8.39149661676168,6.0583941605839415,3.7226277372262775,1.6528925619834711,16577
58,28,Woman,happy,latino hispanic,,black,black,1.9148936170212765,4.152542372881356,1.843971631205673,11.770031688546853,6.0992907801418434,4.25531914893617,2.4576271186440684,16638
59,34,Woman,angry,latino hispanic,,brown,black,1.9718309859154928,4.173913043478262,1.6901408450704225,9.521920253917871,5.704225352112676,3.4507042253521125,1.652173913043478,16330
60,38,Woman,happy,black,,grey,black,2.0863309352517985,3.982300884955752,1.7985611510791366,10.351431085347546,6.115107913669064,4.460431654676259,2.4778761061946897,15707
